Term,Coeff,StdErr,P-value,OR,LOR,UOR
HIVTEST,-1.58907343011503,1.00744873633695,0.114720910736078,0.204114650630169,0.0272154377379368,1.53085138674072
MENTAL,-1.22043359987641,0.362092441336189,0.000750311341032606,0.295102182909056,0.143041785866714,0.608810200669865
PT,-0.901533286003256,0.267606454389415,0.000754750435474184,0.40594674984352,0.237699931027529,0.693280654294479
PSYCHOTH,-0.836184169002297,0.325458829050544,0.0101919739282172,0.433361004802747,0.226026771874629,0.830882815013678
DME,-0.744723297786439,0.290688893262667,0.010409363494834,0.474865678147041,0.26551044868951,0.84929769579708
HEPTEST,-0.521453956014001,0.463222487482751,0.260288500160883,0.593656769344258,0.23506365457626,1.49928903480877
DIETNUTR,-0.441184734481477,0.103580234840549,2.05019914976528e-05,0.643273860732722,0.52291037110561,0.791342613892061
EXERCISE,-0.436454712752152,0.1244232663866,0.000451790663488511,0.646323767448091,0.503938397519305,0.828939438678696
STRESMGT,-0.420627429335141,0.3680173840542,0.253057139597851,0.656634698667713,0.314534284066243,1.37081758439926
ANY SERVICE,-0.335910814830048,0.0658558044769897,3.38396513820035e-07,0.71468684244134,0.626490026739418,0.815299942470154
HOMEHLTH,-0.0915562766059561,0.338552472424572,0.786825983186854,0.912509961743451,0.463633355393964,1.79597611041916
DEPRESS,-0.0516944807935622,0.133310107504947,0.69818169366122,0.949618949355569,0.727373850895226,1.23976982106973
COLON,-0.00494728827359955,0.287498052732036,0.986270619615427,0.995064929400609,0.559930061216266,1.76835337537022
CervicalCaScreen,0.116689288836355,0.209873440355832,0.578211975280701,1.12377020749089,0.738556560288299,1.70990218914466
CAM,0.128600496258046,0.768823049240505,0.867158155787402,1.13723570348137,0.24437640418756,5.2922664508974
ETOH,0.180293623584395,0.185138666254286,0.330140857624516,1.19756894598926,0.826972606107053,1.7342429118047
SUBST,0.211512818769124,0.207989772043161,0.309182659429109,1.23554580370359,0.815081863056734,1.87290811173808
BONEDENS,0.228385866164594,0.30639053009133,0.456025278910095,1.25657009978227,0.680862301295982,2.31907158416811
OCCUPY,0.313217031460128,0.641993494154618,0.625633467330058,1.36781835843152,0.378791272859568,4.93920318580283
MAMMO,0.503710522278213,0.172662276749744,0.00353057232583429,1.65485025153362,1.17161831554018,2.33739035885443
DVS,0.654030865415009,0.418868022787033,0.11842358418789,1.9232776989577,0.832181111166989,4.44494240216633
GENETIC,0.954428397794729,0.794283834613023,0.229510273495416,2.5971856015333,0.530391815290582,12.7177170807516
