Term,Coeff,StdErr,P-value,OR,LOR,UOR
SIGMOID,-15.3691256672835,1660.83590529252,0.992616601659391,2.11482059464788e-07,0,Inf
MENTAL,-1.30311762275533,0.361588455359565,0.000313514457127388,0.271683464785341,0.13182308329045,0.559931562783551
PT,-0.968097835033263,0.266939971720406,0.000287122111822316,0.379804802818115,0.222689294232039,0.647771096231501
PSYCHOTH,-0.961565353706757,0.324314094118664,0.00302761621033132,0.382293992039472,0.19984893118122,0.731295861757451
DME,-0.762251281554965,0.290141120898465,0.00860972327616211,0.466614762449595,0.261183116114853,0.833627149314459
HEPTEST,-0.546988925160751,0.462588001894863,0.237025700090813,0.578689667543552,0.229428251279639,1.45963598403361
DIETNUTR,-0.447572679777334,0.103393575511094,1.49907086633155e-05,0.639177759264889,0.519774699857657,0.786010184895045
STRESMGT,-0.444130940114887,0.367421730041538,0.226748526412284,0.641381432770244,0.307594045276205,1.33738005861921
EXERCISE,-0.440300025388477,0.124280865893274,0.000395929723063688,0.643843222789358,0.502147309471321,0.825522884844736
AnyService_0_1,-0.360643114602558,0.0650450106731016,2.94768065145835e-08,0.697227784485157,0.612177420351218,0.794094272832181
ETOHED,-0.117844338916277,0.471387268779698,0.802591414386584,0.888834398772544,0.346241463313188,2.28172149251444
HOMEHLTH,-0.109949418319468,0.338062040534354,0.745003645230029,0.895879449238587,0.455630320287204,1.76151575483853
DEPRESS,-0.0466887432475101,0.133175732971367,0.725903492445092,0.954384409956491,0.731220510193159,1.24565652805252
TOBACED,-0.00790584134476366,0.170325121817722,0.962978541423121,0.992125327625855,0.705706334388202,1.39479074758489
COLON,0.0167392927962313,0.287361404558901,0.953548133121662,1.01688017977622,0.572362059711012,1.80662795948391
CAM,0.0576831532915501,0.76619707936924,0.939987949468454,1.05937928168975,0.228844852405671,4.90412806176663
CervicalCaScreen,0.0963975463477891,0.20939873280699,0.645262139652259,1.10119675373488,0.724408427506146,1.67396491315108
HIV,0.112292993950934,0.53569924234229,0.833964678456305,1.11884062616157,0.383235540440587,3.26640985674364
SUBST,0.239454401740252,0.207864822398623,0.249332685092126,1.27055574817399,0.838387191323097,1.92549686579817
BONEDENS,0.250860748806582,0.306474293082024,0.413050250571696,1.28513111582912,0.696221210924501,2.37217993212116
OCCUPY,0.315394606798615,0.639426053857549,0.621838487611671,1.37080013129564,0.381571319446215,4.92461803126954
MAMMO,0.536553774913958,0.172614039385093,0.00188102203327551,1.71010329464265,1.21085375826555,2.4151994065218
GENETIC,0.941178257919173,0.790570420414938,0.233847856886193,2.56299951440699,0.527312154159884,12.4574532542611
RADTHER,2.90988587506622,0.92336905383009,0.00162501459902607,18.3547037181366,2.89547092852196,116.352454193885
