Term,Coeff,StdErr,P-value,OR,LOR,UOR
PT,-0.964692412248161,0.00088175229163744,1.14123099115726,0.381100403529535,0.380428923474322,0.38177306878765
CAM,-0.964692412248161,0.00088175229163744,1.14123099115726,0.381100403529535,0.380428923474322,0.38177306878765
AnyService_0_1,-0.633196561511312,-0.174545483333498,0.625367367303991,0.530892056670554,0.374453545349994,0.75268716062617
CervicalCaScreen,1.84603832318857e-11,-3.63281004902196e-13,-4.68962731629697e-12,1.00000000001846,1.00000000001773,1.00000000001919
EXERCISE,1.84603832318857e-11,-3.63281004902196e-13,-4.68962731629697e-12,1.00000000001846,1.00000000001773,1.00000000001919
DME,1.12884416917903e-10,53.1321327171236,4.68249081542133e-11,1.00000000011288,7.07971701012789e-47,1.41248583636215e+46
COLON,1.12884416917903e-10,53.1321327171236,4.68249081542133e-11,1.00000000011288,7.07971701012789e-47,1.41248583636215e+46
SIGMOID,1.12884416917903e-10,53.1321327171236,4.68249081542133e-11,1.00000000011288,7.07971701012789e-47,1.41248583636215e+46
MENTAL,1.12884416917903e-10,53.1321327171236,4.68249081542133e-11,1.00000000011288,7.07971701012789e-47,1.41248583636215e+46
PSYCHOTH,1.12884416917903e-10,53.1321327171236,4.68249081542133e-11,1.00000000011288,7.07971701012789e-47,1.41248583636215e+46
OCCUPY,1.12884416917903e-10,53.1321327171236,4.68249081542133e-11,1.00000000011288,7.07971701012789e-47,1.41248583636215e+46
HOMEHLTH,1.12884416917903e-10,53.1321327171236,4.68249081542133e-11,1.00000000011288,7.07971701012789e-47,1.41248583636215e+46
TOBACED,1.12884416917903e-10,53.1321327171236,4.68249081542133e-11,1.00000000011288,7.07971701012789e-47,1.41248583636215e+46
RADTHER,1.12884416917903e-10,53.1321327171236,4.68249081542133e-11,1.00000000011288,7.07971701012789e-47,1.41248583636215e+46
SUBST,1.12884416917903e-10,53.1321327171236,4.68249081542133e-11,1.00000000011288,7.07971701012789e-47,1.41248583636215e+46
ETOHED,1.12884416917903e-10,53.1321327171236,4.68249081542133e-11,1.00000000011288,7.07971701012789e-47,1.41248583636215e+46
HIV,1.12884416917903e-10,53.1321327171236,4.68249081542133e-11,1.00000000011288,7.07971701012789e-47,1.41248583636215e+46
MAMMO,1.88188478805502e-09,3.54219578865583e-10,53.1321327228295,1.00000000188188,1.00000000117345,1.00000000259032
HEPTEST,1.88188478805502e-09,3.54219578865583e-10,53.1321327228295,1.00000000188188,1.00000000117345,1.00000000259032
STRESMGT,0.860599028740712,-2.5760740256002,-0.393294702155579,2.36457671895782,0.013683712494067,408.604248464117
BONEDENS,0.860599028740712,-2.5760740256002,-0.393294702155579,2.36457671895782,0.013683712494067,408.604248464117
DEPRESS,53.1321374491146,-8.33012174417464e-13,5.31077745449908e-13,1.18848609752344e+23,1.18848609752146e+23,1.18848609752541e+23
DIETNUTR,53.1321374491146,-8.33012174417464e-13,5.31077745449908e-13,1.18848609752344e+23,1.18848609752146e+23,1.18848609752541e+23
GENETIC,53.1321374491146,-8.33012174417464e-13,5.31077745449908e-13,1.18848609752344e+23,1.18848609752146e+23,1.18848609752541e+23
